category	subcategory	function_name	function_ids	long_function_name	gene_symbol
CAZY	CAZY	Arabinan	GH93	exo-alpha-L-1,5-arabinanase (EC 3.2.1.-)
CAZY	CAZY	Mannan	GH113, GH130, GH134, GH26, GH76, GH92, GH99, GH63, GH38 GH47, GH125	beta-mannanase (EC 3.2.1.78), ,  exo-alpha-1,6-mannosidase (EC 3.2.1.-), beta-1,4-mannosylglucose phosphorylase (EC 2.4.1.281); beta-1,4-mannooligosaccharide phosphorylase (EC 2.4.1.319); mannosyl-oligosaccharide alpha-1,2-mannosidase (EC 3.2.1.113); mannosyl-oligosaccharide alpha-1,3-mannosidase (EC 3.2.1.-);  endo-beta-1,4-mannanase (EC 3.2.1.78); beta-1,4-mannosyl-N-acetyl-glucosamine phosphorylase (EC 2.4.1.320); beta-1,2-mannobiose phosphorylase (EC 2.4.1.-); beta-1,2-oligomannan phosphorylase (EC 2.4.1.-); beta-1,2-mannosidase (EC 3.2.1.-),
CAZY	CAZY	Beta Glucan	GH12, GH124, GH128, GH131, GH132, GH144, GH148, GH149, GH152, GH26, GH45, GH55, GH64, GH72, GH81, GH9, GH94	endoglucanase (EC 3.2.1.4);  beta-1,3-1,4-glucanase (EC 3.2.1.73); exo-beta-1,3-glucanase (EC 3.2.1.58); cellobiose phosphorylase (EC 2.4.1.20);  broad specificity exo-beta-1,3/1,6-glucanase with endo-beta-1,4-glucanase activity (EC 3.2.1.-); beta-1,3-glucan phosphorylase (EC 2.4.1.-);
CAZY	CAZY	Fucose Cleavage	GH107, GH139, GH141, GH151, GH29, GH95, GH43	alpha-L-fucosidase (EC 3.2.1.51); alpha-1,3/1,4-L-fucosidase (EC 3.2.1.111),   sulfated fucan endo-1,4-fucanase (EC 3.2.1.-)
CAZY	CAZY	Arabinose cleavage	GH121, GH127, GH131, GH137, GH142, GH146, GH42, GH54, GH62	beta-L-arabinofuranosidase (EC 3.2.1.185), beta-L-arabinobiosidase (EC 3.2.1.-), alpha-L-arabinofuranosidase (EC 3.2.1.55)
CAZY	CAZY	Rhamnose cleavage	GH78, GH106, GH145, PL24, PL25, PL27, PL28	alpha-L-rhamnosidase (EC 3.2.1.40); rhamnogalacturonan alpha-L-rhamnohydrolase (EC 3.2.1.174), L-Rhalpha-alpha-1,4-GlcA alpha-L-rhamnohydrolase (EC 3.2.1.-)
CAZY	CAZY	Ppo laccase 	K05909, AA1, AA2	Laccase / p-diphenol:oxygen oxidoreductase / ferroxidase (EC 1.10.3.2); ; ferroxidase (EC 1.10.3.-); Laccase-like multicopper oxidase (EC 1.10.3.-), manganese peroxidase (EC 1.11.1.13); versatile peroxidase (EC 1.11.1.16); lignin peroxidase (EC 1.11.1.14); peroxidase (EC 1.11.1.-)
Nitrogen metabolism	Nitrification 	ammonia => nitrite	EC:1.14.99.39	ammonia monooxygenase [EC:1.14.99.39] [RN:R00148]
Nitrogen metabolism	Nitrification 	Bacterial/Archaeal ammonia oxidation	K10944, K10945, K10946	amoA; Methane/ammonia monooxygenase subunit A (aka: particulate ammonia monooxygenase) [EC:1.14.99.39] [RN:R00148]	amoA
Nitrogen metabolism	Nitrification 	Bacterial (aerobic-specific) ammonia oxidation	K10535	hao: Hydroxylamine dehydrogenase [EC:1.7.2.6] [RN:R10164]	hao
Nitrogen metabolism	Nitrification 	Bacterial (anaerobic-specific) ammonia oxidation	K20932, K20933, K20934, K20935	hzs; Hydrazine synthase subunit (aka: hzsC) [EC:1.7.2.7] [RN:R09799]	hzs
Nitrogen metabolism	Nitrification 	nitrite => nitrate	K00370, K00371	nxrA; Nitrite oxidoreductase, alpha subunit [EC:1.7.99.-] [RN:R00978]; nxrB; Nitrite oxidoreductase, beta subunit  [EC:1.7.99.-] [RN:R00978]
Nitrogen metabolism	Denitrification 	nitrate => nitrite	K02567, K00370, K00371, K02568	periplasmic nitrate reductase NapA [EC:1.7.99.-] [RN:R00798] or nitrate reductase 1 NarG [EC:1.7.99.-] [RN:R00798]
Nitrogen metabolism	Denitrification 	nitrite => nitric oxide	K00362, K00370, K00368, K15864	respiratory nitrite reductase [EC:1.7.1.15] [RN:R00787], respiratory nitrate reductase 1 [EC:1.7.99.-] [RN:R00798]
Nitrogen metabolism	Denitrification 	Dissimilatory nitrite reduction to ammonia (DNRA)	K03385, K15876	nrfA; Nitrite reductase (cytochrome c-552) [EC:1.7.2.2] [RN:R05712]; nrfH; cytochrome c nitrite reductase small subunit [EC:1.7.2.2] [RN:R05712]	nrfA
Nitrogen metabolism	Denitrification 	nitric oxide => nitrous oxide	K04561, K15877	nitric oxide reductase [EC:1.7.2.5] [RN:R00294]
Nitrogen metabolism	Denitrification 	nitrous oxide => nitrogen	K00376 	nitrous-oxide reductase [EC:1.7.2.4] [RN:R02804]
Nitrogen metabolism	Nitrogen  fixation	nitrogen => ammonia	K02588, K02586	nitrogenase iron protein [RN:R05185]
Nitrogen metabolism	Nitrogen  fixation	Nitrogen fixation altennative	K22896	vnfD; Vanadium-dependent nitrogenase alpha chain [EC:1.18.6.2] [RN:R12084]	vnfH
Sulfur metabolism 	Sulfur metabolism 	dissimilatory sulfate reduction (and oxidation) sulfate => sulfide	K11180, K11181	dissimilatory sulfite reductase alpha subunit [EC:1.8.99.5]	dsrA or dsrB
Sulfur metabolism 	Sulfur metabolism 	thiosulfate => sulfite	K08352	thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5]	phsA, psrA
Sulfur metabolism 	Sulfur metabolism 	thiosulfate reduction, thiosulfate => sulfite	K01011	rhodanase	rdlA
Sulfur metabolism 	Sulfur metabolism 	Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	K17222, K17223, K17224, K17225, K22622, K17226, K17227
Sulfur metabolism 	Sulfur metabolism 	tetrathionate => thiosulfate	K08357		ttrA
Other Reductases	Reductases and Electron transport chain components	selenate/Chlorate reduction	K17050	selenate/chlorate reductase subunit alpha
Other Reductases	Reductases and Electron transport chain components	TMAO reductase	K07811	trimethylamine-N-oxide reductase (cytochrome c) [EC:1.7.2.3]
Other Reductases	Reductases and Electron transport chain components	mercury reduction	EC:1.16.1.1	mercury(II) reductase
Other Reductases	Reductases and Electron transport chain components	arsenate reduction, pt 1	EC:1.20.4.1	arsenate reductase (glutaredoxin); ArsC (ambiguous)
Other Reductases	Reductases and Electron transport chain components	arsenate reduction, pt 2	EC:1.20.99.1	arsenate reductase (donor); arsenate:(acceptor) oxidoreductase
Photosynthesis 	Photosynthesis 	Photosystem I	K02689, K02690, K02691, K02692, K02693, K02694	psaA-F; photosystem I P700 chlorophyll a apoprotein A1
Photosynthesis 	Photosynthesis 	Photosystem II	K02703, K02706	psbA, psbD  photosystem II reaction center D1 protein [EC:1.10.3.9]	fhs (formyltetrahydrofolate (THF) synthetase)
Methanogenesis and methanotrophy	Methanogenesis and methanotrophy	Key functional gene 	K00399, K00401, K00402	methyl-coenzyme M reductase [EC:2.8.4.1] [RN:R04541]	mcrA
Methanogenesis and methanotrophy	Methanogenesis and methanotrophy	acetate => methane, pt 1	K01895	acetyl-CoA synthetase [EC:6.2.1.1] [RN:R00235]
Methanogenesis and methanotrophy	Methanogenesis and methanotrophy	acetate => methane, pt 2	K00925	acetate kinase [EC:2.7.2.1] [RN:R00315]	ack
Methanogenesis and methanotrophy	Methanogenesis and methanotrophy	acetate => methane, pt 3	K00625	phosphate acetyltransferase [EC:2.3.1.8] [RN:R00230]
Methanogenesis and methanotrophy	Methanogenesis and methanotrophy	methanol => methane	K04480	mtaB	mtaB
Methanogenesis and methanotrophy	Methanogenesis and methanotrophy	trimethylamine => dimethylamine	K14083	mttB; trimethylamine---	mttB
Methanogenesis and methanotrophy	Methanogenesis and methanotrophy	dimethylamine => monomethylamine	K16178	mtbB; dimethylamine--	mtbB
Methanogenesis and methanotrophy	Methanogenesis and methanotrophy	trimethylamine => dimethylamine	K16176	mtmB; methylamine--	mtmB
Methanogenesis and methanotrophy	Methanogenesis and methanotrophy	putative but not defining CO2 => methane	K00200	formylmethanofuran dehydrogenase [EC:1.2.99.5] [RN:R03015]
Methanogenesis and methanotrophy	Methanogenesis and methanotrophy	methane => methanol, with oxygen	K10944, K10945, K10946	pmoA; Methane/ammonia monooxygenase subunit A (aka: Particulate methane monoxygenase, or subunit Beta) [EC:1.14.18.3] [RN:R09518]	pmoA
Methanogenesis and methanotrophy	Methanogenesis and methanotrophy	methane => methanol, with oxygen	K16157, K16158, K16159, K16160, K16161, K16162	mmoX; Methane monooxygenase component A alpha chain (aka: Soluble methane monooxygenase, or methane hydroxylase) [EC1.14.13.25] [RN:R01142]
SCFA  and alcohol conversions	SCFA  and alcohol conversions	pyruvate => acetyl CoA v1	K00163	pyruvate dehydrogenase E1 component [EC:1.2.4.1]
SCFA  and alcohol conversions	SCFA  and alcohol conversions	pyruvate => acetyl CoA v2	K00174	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3, 1.2.7.11]
SCFA  and alcohol conversions	SCFA  and alcohol conversions	pyruvate => acetylCoA f+ formate v3	K00656	formate C-acetyltransferase [EC:2.3.1.54]
SCFA  and alcohol conversions	SCFA  and alcohol conversions	acetate, pt 1	K00625	phosphate acetyltransferase [EC:2.3.1.8] [RN:R00230]
SCFA  and alcohol conversions	SCFA  and alcohol conversions	acetate, pt 2	K00925, K01905	acetate kinase [EC:2.7.2.1] [RN:R00315], 6.2.1.13, acetate---CoA ligase (ADP-forming) subunit alpha
SCFA  and alcohol conversions	SCFA  and alcohol conversions	acetate, pt 3	K01067	acetyl-CoA hydrolase [EC:3.1.2.1]
SCFA  and alcohol conversions	SCFA  and alcohol conversions	 lactate L	K00016, K00101	L-lactate dehydrogenase [EC:1.1.1.27]; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]
SCFA  and alcohol conversions	SCFA  and alcohol conversions	lactate D	K03778, K03777	D-lactate dehydrogenase [EC:1.1.1.28]; D-lactate dehydrogenase (quinone) [EC:1.1.5.12], D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4], D-lactate dehydrogenase (cytochrome c-553)
SCFA  and alcohol conversions	SCFA  and alcohol conversions	Butyrate, pt 1	K00634	phosphate butyryltransferase [EC:2.3.1.19]
SCFA  and alcohol conversions	SCFA  and alcohol conversions	Butyrate, pt 2	K00929, K01896	butyrate kinase [EC:2.7.2.7], medium-chain acyl-CoA synthetase [EC:6.2.1.2]
SCFA  and alcohol conversions	SCFA  and alcohol conversions	Propionate, pt 1	K19697	propionate kinase [EC:2.7.2.15]
SCFA  and alcohol conversions	SCFA  and alcohol conversions	Propionate, pt 2	K01026	propionate CoA-transferase [EC:2.8.3.1]
SCFA  and alcohol conversions	SCFA  and alcohol conversions	Alcohol production 	K00001, K00121, K04072, K13951, K13952, K13953, K13954, K13980, K18857	alcohol dehydrogenase [EC:1.1.1.1]
