gene_id	gene_description	module	subheader	topic_ecosystem	note	reference	count	pathway
ExtABCD		"Nutrient Cycling , Redox Ladder"	Iron Reduction	bgc
FmnA	fegenie db: HMM	"Nutrient Cycling , Redox Ladder"	Iron Reduction	bgc
MtrA	fegenie db: HMM	"Nutrient Cycling , Redox Ladder"	Iron Reduction	bgc
MtrB_TIGR03509	fegenie db: HMM	"Nutrient Cycling , Redox Ladder"	Iron Reduction	bgc
MtrC_TIGR03507	fegenie db: HMM	"Nutrient Cycling , Redox Ladder"	Iron Reduction	bgc
omcF	fegenie db: HMM	"Nutrient Cycling , Redox Ladder"	Iron Reduction	bgc
omcS	fegenie db: HMM	"Nutrient Cycling , Redox Ladder"	Iron Reduction	bgc
omcZ	fegenie db: HMM	"Nutrient Cycling , Redox Ladder"	Iron Reduction	bgc
HgcA	hgcA;Cobalamin-dependent mercury methyltransferase HgcA	Environmental Adaptation	Mercury Methylation	bgc
K00128	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	Carbon Transformations	Alcohol/Ethanol	bgc				alcohol production
K00149	ALDH9A1; aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]	Carbon Transformations	Alcohol/Ethanol	bgc				alcohol production
K04072	adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]	Carbon Transformations	Alcohol/Ethanol	bgc				alcohol production
K13953	"adhP; alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]"	Carbon Transformations	Alcohol/Ethanol	bgc				alcohol production
K20932	hydrazine synthase subunit; [EC:1.7.2.7]	Nutrient Cycling	Anaerobic Ammonia Oxidation (ANAMMOX)	bgc	"Anammox, nitrite + ammonia => nitrogen"			Nitric oxide=>ammonium=>hydrazine (HZS complex)
K20933	hydrazine synthase subunit; [EC:1.7.2.7]	Nutrient Cycling	Anaerobic Ammonia Oxidation (ANAMMOX)	bgc	"Anammox, nitrite + ammonia => nitrogen"			Nitric oxide=>ammonium=>hydrazine (HZS complex)
K20934	hydrazine synthase subunit; [EC:1.7.2.7]	Nutrient Cycling	Anaerobic Ammonia Oxidation (ANAMMOX)	bgc	"Anammox, nitrite + ammonia => nitrogen"			Nitric oxide=>ammonium=>hydrazine (HZS complex)
K20935	hdh; hydrazine dehydrogenase; [EC:1.7.2.8]	Nutrient Cycling	"Anaerobic Ammonia Oxidation (ANAMMOX) , Complete Ammonia Oxidation (COMAMMOX)"	bgc	"Anammox, nitrite + ammonia => nitrogen"			Hydrazine=>dinitrogen gas (N?)
K00368	nirK ; nitrite reductase (NO-forming); [EC:1.7.2.1] [RN:R00783 R00785]	"Nutrient Cycling , Redox Ladder , Greenhouse Gases"	"Anaerobic Ammonia Oxidation (ANAMMOX), Nitrite Reduction to Nitric Oxide , Complete Denitrification , Partial Denitrification , Denitrifying Methanotroph"	bgc	"Anammox, nitrite + ammonia => nitrogen;Denitrification, nitrate => nitrogen"			nitrite=>nitric oxide
K15864	nirS; nitrite reductase (NO-forming) / hydroxylamine reductase; [EC:1.7.2.1 1.7.99.1]	"Nutrient Cycling , Redox Ladder , Greenhouse Gases"	"Anaerobic Ammonia Oxidation (ANAMMOX), Nitrite Reduction to Nitric Oxide , Complete Denitrification , Partial Denitrification , Denitrifying Methanotroph"	bgc	"Anammox, nitrite + ammonia => nitrogen;Denitrification, nitrate => nitrogen"			nitrite=>nitric oxide
K04105	hbaA; 4-hydroxybenzoate-CoA ligase [EC:6.2.1.27 6.2.1.25]	Carbon Transformations	Aromatic Monomers (4-hydroxybenzoate conversion to benzoyl-coa (anoxic))	bgc	4-Hydroxybenzoate => 4-Hydroxybenzoyl-CoA
K20458	hbaA; 4-hydroxybenzoate-CoA ligase [EC:6.2.1.27 6.2.1.25]	Carbon Transformations	Aromatic Monomers (4-hydroxybenzoate conversion to benzoyl-coa (anoxic))	bgc	4-Hydroxybenzoate => 4-Hydroxybenzoyl-CoA
EC:6.2.1.27	hbaA; 4-hydroxybenzoate-CoA ligase [EC:6.2.1.27 6.2.1.25]	Carbon Transformations	Aromatic Monomers (4-hydroxybenzoate conversion to benzoyl-coa (anoxic))	bgc	4-Hydroxybenzoate => 4-Hydroxybenzoyl-CoA
EC:6.2.1.25	hbaA; 4-hydroxybenzoate-CoA ligase [EC:6.2.1.27 6.2.1.25]	Carbon Transformations	Aromatic Monomers (4-hydroxybenzoate conversion to benzoyl-coa (anoxic))	bgc	4-Hydroxybenzoate => 4-Hydroxybenzoyl-CoA
K04107	hcrC; 4-hydroxybenzoyl-CoA reductase subunit gamma [EC:1.1.7.1]	Carbon Transformations	Aromatic Monomers (4-hydroxybenzoate conversion to benzoyl-coa (anoxic))	bgc	4-Hydroxybenzoyl-CoA => Benzoyl-CoA
EC:1.1.7.11	hcrC; 4-hydroxybenzoyl-CoA reductase subunit gamma [EC:1.1.7.1]	Carbon Transformations	Aromatic Monomers (4-hydroxybenzoate conversion to benzoyl-coa (anoxic))	bgc	4-Hydroxybenzoyl-CoA => Benzoyl-CoA
K04108	hcrA; 4-hydroxybenzoyl-CoA reductase subunit alpha [EC:1.1.7.1]	Carbon Transformations	Aromatic Monomers (4-hydroxybenzoate conversion to benzoyl-coa (anoxic))	bgc	4-Hydroxybenzoyl-CoA => Benzoyl-CoA
K04109	hcrB; 4-hydroxybenzoyl-CoA reductase subunit beta [EC:1.1.7.1]	Carbon Transformations	Aromatic Monomers (4-hydroxybenzoate conversion to benzoyl-coa (anoxic))	bgc	4-Hydroxybenzoyl-CoA => Benzoyl-CoA
K22553	4-methoxybenzoate monooxygenase (O-demethylating) [EC:1.14.99.15]	Carbon Transformations	Aromatic Monomers (4-methoxybenzoate conversion (oxic))	bgc	4-Methoxybenzoate => 4-Hydroxybenzoate + Formaldehyde
K00446	"dmpB; catechol 2,3 dioxygenase"	Carbon Transformations	Aromatic Monomers (4-methylcatechol degradation- meta-cleavage route 1 (oxic))	bgc	"4-methylcatechol => 2-Hydroxy-5-methyl-cis,cis-muconic semialdehyde"
K01617	dmpH; 2-oxo-3-hexenedioate decarboxylase	Carbon Transformations	Aromatic Monomers (4-methylcatechol degradation- meta-cleavage route 1 (oxic))	bgc	"2-Oxo-5-methyl-cis-muconate => 2-Hydroxy-cis-hex-2,4-dienoate"
K01821	praC; 2-hydroxymuconate tautomerase	Carbon Transformations	Aromatic Monomers (4-methylcatechol degradation- meta-cleavage route 1 (oxic))	bgc	"2-Hydroxy-5-methyl-cis,cis-muconate => 2-Oxo-5-methyl-cis-muconate"
K10217	dmpC; 2-hydroxymuconate semialdehyde dehydrogenase	Carbon Transformations	Aromatic Monomers (4-methylcatechol degradation- meta-cleavage route 1 (oxic))	bgc	"2-Hydroxy-5-methyl-cis,cis-muconic semialdehyde => 2-Hydroxy-5-methyl-cis,cis-muconate"
K18364	bphH; 2-oxopent-4-enoate hydratase	Carbon Transformations	Aromatic Monomers (4-methylcatechol degradation- meta-cleavage route 1 (oxic))	bgc	"2-Hydroxy-cis-hex-2,4-dienoate => 4-Hydroxy-2-oxohexanoic acid"
K18365	bphI; 4-hydroxy-2-oxovalerate/4-hydroxy-2-oxohexanoate aldolase [EC:4.1.3.39 4.1.3.43]	Carbon Transformations	Aromatic Monomers (4-methylcatechol degradation- meta-cleavage route 1 (oxic))	bgc	4-Hydroxy-2-oxohexanoic acid => Propanal + Pyruvate
K07104	"catE; catechol 2,3 dioxygenase"	Carbon Transformations	Aromatic Monomers (4-methylcatechol degradation- meta-cleavage route 2 (oxic))	bgc	"4-methylcatechol => 2-Hydroxy-5-methyl-cis,cis-muconic semialdehyde"			"4-methylcatechol => 2-Hydroxy-5-methyl-cis,cis-muconic semialdehyde"
K10216	dmpD; 2-hydroxymuconic semialdehyde hydrolase	Carbon Transformations	Aromatic Monomers (4-methylcatechol degradation- meta-cleavage route 2 (oxic))	bgc	"2-Hydroxy-5-methyl-cis,cis-muconic semialdehyde => Formate + 2-Hydroxy-cis-hex-2,4-dienoate"
K00481	pobA; p-hydroxybenzoate 3-monooxygenase [EC:1.14.13.2]	Carbon Transformations	Aromatic Monomers (benzoate degradation to protocatechuic acid (oxic))	bgc	"4-hydroxybenzoate => 3,4-dihydroxybenzoate"
EC:1.14.13.2	pobA; p-hydroxybenzoate 3-monooxygenase [EC:1.14.13.2]	Carbon Transformations	Aromatic Monomers (benzoate degradation to protocatechuic acid (oxic))	bgc	"4-hydroxybenzoate => 3,4-dihydroxybenzoate"
D00014	CarE;electron transfer flavoprotein B	Carbon Transformations	Aromatic Monomers (caffeate respiration (anoxic))	bgc	electron transfer
D00015	CarD;electron transfer flavoprotein A	Carbon Transformations	Aromatic Monomers (caffeate respiration (anoxic))	bgc	electron transfer
D00016	CarC;caffeyl-CoA reductase	Carbon Transformations	Aromatic Monomers (caffeate respiration (anoxic))	bgc	caffeyl-coA => hydrocaffeyl-coA
D00017	CarB;caffeyl-CoA synthetase	Carbon Transformations	Aromatic Monomers (caffeate respiration (anoxic))	bgc	caffeate => caffeyl-coenzyme A
D00018	CarA;hydrocaffeyl-CoA:caffeate CoA transferase	Carbon Transformations	Aromatic Monomers (caffeate respiration (anoxic))	bgc	hydrocaffeyl-coA => caffeyl-coA + hydrocaffeate
K22430	CarC;caffeyl-CoA reductase (EC:1.3.1.108)	Carbon Transformations	Aromatic Monomers (caffeate respiration (anoxic))	bgc	caffeyl-coA => hydrocaffeyl-coA			caffeyl-coA => hydrocaffeyl-coA
EC:1.3.1.108	CarC;caffeyl-CoA reductase (EC:1.3.1.108)	Carbon Transformations	Aromatic Monomers (caffeate respiration (anoxic))	bgc	caffeyl-coA => hydrocaffeyl-coA			caffeyl-coA => hydrocaffeyl-coA
K22431	CarD;electron transfer flavoprotein A	Carbon Transformations	Aromatic Monomers (caffeate respiration (anoxic))	bgc	electron transfer			electron transfer
K22432	CarE;electron transfer flavoprotein B	Carbon Transformations	Aromatic Monomers (caffeate respiration (anoxic))	bgc	electron transfer			electron transfer
K01666	mhpE; 4-hydroxy-2-oxovalerate aldolase	Carbon Transformations	Aromatic Monomers (catechol degradation- meta-cleavage route 2 (oxic))	bgc	4-hydroxy-2-oxovalerate => pyruvate + acetaldehyde
K02554	mhpD; 2-oxo-4-pentenoate hydratase	Carbon Transformations	Aromatic Monomers (catechol degradation- meta-cleavage route 2 (oxic))	bgc	2-oxo-4-enoate => 4-hydroxy-2-oxovalerate
K01856	catB; muconate cycloisomerase [EC:5.5.1.1]	Carbon Transformations	Aromatic Monomers (catechol degradation- ortho cleavage (oxic))	bgc	"cis,cis-Muconate => (+)-Muconolactone"			"cis,cis-Muconate => (+)-Muconolactone"
EC:5.5.1.1	catB; muconate cycloisomerase [EC:5.5.1.1]	Carbon Transformations	Aromatic Monomers (catechol degradation- ortho cleavage (oxic))	bgc	"cis,cis-Muconate => (+)-Muconolactone"			"cis,cis-Muconate => (+)-Muconolactone"
K03381	"catA; catechol 1,2-dioxygenase; [EC:1.13.11.1]"	Carbon Transformations	Aromatic Monomers (catechol degradation- ortho cleavage (oxic))	bgc	"Catechol => cis,cis-Muconate"			"Catechol => cis,cis-Muconate"
EC:1.13.11.1	"catA; catechol 1,2-dioxygenase; [EC:1.13.11.1]"	Carbon Transformations	Aromatic Monomers (catechol degradation- ortho cleavage (oxic))	bgc	"Catechol => cis,cis-Muconate"			"Catechol => cis,cis-Muconate"
K03464	catC; muconolactone D-isomerase [EC:5.3.3.4]	Carbon Transformations	Aromatic Monomers (catechol degradation- ortho cleavage (oxic))	bgc	(+)-Muconolactone => 3-Oxoadipate enol-lactone			(+)-Muconolactone => 3-Oxoadipate enol-lactone
EC:5.3.3.4	catC; muconolactone D-isomerase [EC:5.3.3.4]	Carbon Transformations	Aromatic Monomers (catechol degradation- ortho cleavage (oxic))	bgc	(+)-Muconolactone => 3-Oxoadipate enol-lactone			(+)-Muconolactone => 3-Oxoadipate enol-lactone
D00039	sam5;flavonoid hydroxylase	Carbon Transformations	Aromatic Monomers (coumaric acid conversion (oxic))	bgc	coumaric acid => caffeic acid
D00038	FCS;feruloyl-CoA synthetase (EC:6.2.1.34)	Carbon Transformations	Aromatic Monomers (ferulic acid conversion to vanillin (oxic))	bgc	ferulic acid => feruloyl-coA
K12508	FCS;feruloyl-CoA synthetase (EC:6.2.1.34)	Carbon Transformations	Aromatic Monomers (ferulic acid conversion to vanillin (oxic))	bgc	ferulic acid => feruloyl-coA
EC:6.2.1.34	FCS;feruloyl-CoA synthetase (EC:6.2.1.34)	Carbon Transformations	Aromatic Monomers (ferulic acid conversion to vanillin (oxic))	bgc	ferulic acid => feruloyl-coA
K18383	feruloyl-CoA hydratase/lyase	Carbon Transformations	Aromatic Monomers (ferulic acid conversion to vanillin (oxic))	bgc	feruloyl-CoA => vanillin
D00001	FCR; Flavanone/flavanonol-cleaving reductase	Carbon Transformations	Aromatic Monomers (flavonol/flavanonol degradation to phloroglucinol (anoxic))	bgc	flavanonols => hydroxydihydrochalcones
D00003	CHI; Chalcone isomerase (EC:5.5.1.6)	Carbon Transformations	Aromatic Monomers (flavonol/flavanonol degradation to phloroglucinol (anoxic))	bgc	flavanonols => auronols
EC:5.5.1.6	CHI; Chalcone isomerase (EC:5.5.1.6)	Carbon Transformations	Aromatic Monomers (flavonol/flavanonol degradation to phloroglucinol (anoxic))	bgc	flavanonols => auronols
D00006	PHY; Phloretin hydrolase [EC:3.7.1.4]	Carbon Transformations	Aromatic Monomers (flavonol/flavanonol degradation to phloroglucinol (anoxic))	bgc	hydroxydihydrochalcones => phloroglucinol + caffeic acid
EC:3.7.1.4	PHY; Phloretin hydrolase [EC:3.7.1.4]	Carbon Transformations	Aromatic Monomers (flavonol/flavanonol degradation to phloroglucinol (anoxic))	bgc	hydroxydihydrochalcones => phloroglucinol + caffeic acid
D00009	FLR; Flavone/flavonol reductase	Carbon Transformations	Aromatic Monomers (flavonol/flavanonol degradation to phloroglucinol (anoxic))	bgc	flavonols => flavanonols
K22906	PHY; Phloretin hydrolase [EC:3.7.1.4]	Carbon Transformations	Aromatic Monomers (flavonol/flavanonol degradation to phloroglucinol (anoxic))	bgc	hydroxydihydrochalcones => phloroglucinol + caffeic acid
K26176	FLR; Flavone/flavonol reductase	Carbon Transformations	Aromatic Monomers (flavonol/flavanonol degradation to phloroglucinol (anoxic))	bgc	flavonols => flavanonols
K26177	CHI; Chalcone isomerase (EC:5.5.1.6)	Carbon Transformations	Aromatic Monomers (flavonol/flavanonol degradation to phloroglucinol (anoxic))	bgc	flavanonols => auronols
K26178	FCR; Flavanone/flavanonol-cleaving reductase	Carbon Transformations	Aromatic Monomers (flavonol/flavanonol degradation to phloroglucinol (anoxic))	bgc	flavanonols => hydroxydihydrochalcones
K22958	lpdC;gallate decarboxylase subunit C	Carbon Transformations	Aromatic Monomers (gallate conversion to pyrogallol (anoxic))	bgc	gallate => pyrogallol
K22959	lpdB;gallate decarboxylase subunit B	Carbon Transformations	Aromatic Monomers (gallate conversion to pyrogallol (anoxic))	bgc	gallate => pyrogallol
K22960	lpdD;gallate decarboxylase subunit D	Carbon Transformations	Aromatic Monomers (gallate conversion to pyrogallol (anoxic))	bgc	gallate => pyrogallol
K04100	"ligA; protocatechuate 4,5-dioxygenase, alpha chain"	Carbon Transformations	Aromatic Monomers (protocatechuic acid degradation- meta-cleavage (oxic))	bgc	protocatechuate => 2-hydroxy-4-carboxymuconic semialdehyde
K04101	"ligB; protocatechuate 4,5-dioxygenase, beta chain"	Carbon Transformations	Aromatic Monomers (protocatechuic acid degradation- meta-cleavage (oxic))	bgc	protocatechuate => 2-hydroxy-4-carboxymuconic semialdehyde
K10218	ligK; 4-oxalocitramalate aldolase	Carbon Transformations	Aromatic Monomers (protocatechuic acid degradation- meta-cleavage (oxic))	bgc	"2-hydroxy-4-oxobutane-1,2,4-tricarboxylate => pyruvate, oxaloacetate"
K10219	ligC; 2-hydroxy-4-carboxymuconic-6-semialdehyde dehydrogenase	Carbon Transformations	Aromatic Monomers (protocatechuic acid degradation- meta-cleavage (oxic))	bgc	"2-hydroxy-4-carboxymuconic semialdehyde hemiacetal => 2-pyrone-4,6-dicarboxylate"
K10220	ligJ; 4-oxalomescaconate hydratase	Carbon Transformations	Aromatic Monomers (protocatechuic acid degradation- meta-cleavage (oxic))	bgc	"(1E,3E)-4-hydroxybuta-1,3-diene-1,2,4-tricarboxylate => 2-hydroxy-4-oxobutane-1,2,4-tricarboxylate"
K16515	ligJ; 4-oxalomescaconate hydratase	Carbon Transformations	Aromatic Monomers (protocatechuic acid degradation- meta-cleavage (oxic))	bgc	"(1E,3E)-4-hydroxybuta-1,3-diene-1,2,4-tricarboxylate => 2-hydroxy-4-oxobutane-1,2,4-tricarboxylate"
K10221	"ligI; 2-pyrone-4,6-dicarboxylate hydrolase"	Carbon Transformations	Aromatic Monomers (protocatechuic acid degradation- meta-cleavage (oxic))	bgc	"2-pyrone-4,6-dicarboxylate => (1E)-4-oxobut-1-ene-1,2,4-tricarboxylate"
K16514	galD; 4-oxalomesaconate tautomerase	Carbon Transformations	Aromatic Monomers (protocatechuic acid degradation- meta-cleavage (oxic))	bgc	"(1E)-4-oxobut-1-ene-1,2,4-tricarboxylate => (1E,3E)-4-hydroxybuta-1,3-diene-1,2,4-tricarboxylate"
K00448	"pcaG; protocatechuate 3,4-dioxygenase, alpha subunit [EC:1.13.11.3]"	Carbon Transformations	Aromatic Monomers (protocatechuic acid degradation- ortho-cleavage (oxic))	bgc	"3,4-dihydroxybenzoate => 3-Carboxy-cis,cis-muconate"
